0,0,0,0,0,0,0,0,0,0,0,-0.0981,-9.81
0,0,0,0,0,-0.000981,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,-0.0874545,-9.81
-3.46945e-21,3.46945e-21,0,-6.93889e-24,-6.93889e-24,-0.00185555,-3.46945e-19,5.20417e-19,0,-1.04083e-21,-6.93889e-22,-0.0777769,-9.81
-6.93889e-21,8.67362e-21,0,-1.73472e-23,-1.38778e-23,-0.00263331,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,-0.068979,-9.81
-1.04083e-20,1.21431e-20,0,-2.42861e-23,-2.08167e-23,-0.0033231,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,-0.0609809,-9.81
-1.38778e-20,1.56125e-20,0,-3.1225e-23,-2.77556e-23,-0.00393291,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,-0.0537099,-9.81
-1.73472e-20,1.9082e-20,0,-3.81639e-23,-3.46945e-23,-0.00447001,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,-0.0470999,-9.81
-2.08167e-20,2.25514e-20,0,-4.51028e-23,-4.16334e-23,-0.00494101,-6.93889e-19,5.20417e-19,0,-1.04083e-21,-1.38778e-21,-0.0410908,-9.81
-2.77556e-20,2.77556e-20,0,-5.55112e-23,-5.55112e-23,-0.00535192,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,-0.035628,-9.81
-3.1225e-20,2.94903e-20,0,-5.89806e-23,-6.245e-23,-0.0057082,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,-0.0306618,-9.81
-3.46945e-20,3.1225e-20,0,-6.245e-23,-6.93889e-23,-0.00601482,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,-0.0261471,-9.81
-3.81639e-20,3.29597e-20,0,-6.59195e-23,-7.63278e-23,-0.00627629,-3.46945e-19,3.46945e-19,0,-6.93889e-22,-6.93889e-22,-0.0220428,-9.81
-4.16334e-20,3.64292e-20,0,-7.28584e-23,-8.32667e-23,-0.00649672,0,3.46945e-19,0,-6.93889e-22,0,-0.0183117,-9.81
-4.16334e-20,3.98986e-20,0,-7.97973e-23,-8.32667e-23,-0.00667983,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,-0.0149197,-9.81
-4.51028e-20,4.16334e-20,0,-8.32667e-23,-9.02056e-23,-0.00682903,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,-0.0118361,-9.81
-4.85723e-20,4.33681e-20,0,-8.67362e-23,-9.71445e-23,-0.00694739,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,-0.00903281,-9.81
-5.20417e-20,4.51028e-20,0,-9.02056e-23,-1.04083e-22,-0.00703772,-3.46945e-19,1.73472e-19,0,-3.46945e-22,-6.93889e-22,-0.00648437,-9.81
